age,Medu,Fedu,traveltime,self_study_hours,backlog_count,famrel,freetime,goout,Dalc,Walc,health,internal_marks_1,internal_marks_2,final_score,attendance_percentage
16,1,1,1,2,1,4,4,4,1,3,5,14,12,12,100
15,4,4,2,1,0,4,3,2,1,1,5,16,16,15,100
15,4,3,2,4,0,2,2,2,1,1,3,7,9,0,100
16,2,2,2,1,2,2,3,3,2,2,2,9,9,9,84
15,4,4,1,3,0,4,2,2,1,1,5,9,11,11,96
16,1,1,1,1,0,3,4,4,3,3,1,14,14,13,96
17,2,1,1,1,3,5,4,5,1,2,5,5,0,0,100
15,1,1,1,2,0,4,4,2,1,2,5,8,11,11,100
15,3,2,1,2,3,3,3,2,1,1,3,6,7,0,100
15,1,2,1,2,0,4,3,2,1,1,5,10,11,11,96
16,4,4,1,1,0,3,3,2,2,1,5,7,6,0,100
15,2,1,4,1,3,4,5,5,2,5,5,8,9,10,100
18,1,1,1,1,3,2,3,5,2,5,4,6,5,0,100
16,2,1,1,1,1,4,4,4,3,5,5,12,13,14,88
15,3,3,2,3,2,4,2,1,2,3,3,10,10,10,84
19,3,2,1,1,3,4,5,4,1,1,4,5,0,0,100
17,4,4,1,1,0,4,2,1,1,1,4,11,11,12,100
15,2,3,1,2,0,4,4,4,1,1,1,11,8,8,96
17,1,2,1,1,0,2,2,2,3,3,5,16,12,13,84
18,1,1,3,1,3,5,2,5,1,5,4,9,8,10,88
16,2,2,3,1,0,4,2,2,1,2,3,17,15,15,96
16,3,3,1,2,1,4,5,5,4,4,5,10,12,12,92
17,2,1,2,1,2,3,3,2,2,2,5,7,6,0,100
15,3,2,2,2,2,4,4,4,1,4,3,5,9,7,88
16,1,2,2,1,1,4,4,4,2,4,5,7,0,0,100
17,1,3,1,1,0,5,3,3,1,4,2,10,10,10,96
17,1,1,4,2,3,5,3,5,1,5,5,5,8,7,100
16,3,2,2,1,1,4,5,2,1,1,2,12,11,12,68
16,2,2,1,2,0,4,3,5,2,4,4,10,10,10,92
16,4,2,1,2,0,4,2,3,1,1,3,14,15,16,100
16,2,2,1,2,0,5,1,5,1,1,4,6,7,0,100
16,4,4,1,2,0,4,4,2,1,1,3,14,14,14,100
16,3,4,3,1,2,3,4,5,2,4,2,6,5,0,100
16,1,0,2,2,0,4,3,2,1,1,3,13,15,16,96
17,4,4,1,2,0,4,4,4,1,3,5,13,11,10,100
16,1,3,1,2,3,4,3,5,1,1,3,8,7,0,100
16,3,3,2,2,0,4,4,5,1,1,4,10,11,9,92
17,4,3,2,2,0,4,4,4,4,4,4,10,9,9,92
16,2,2,2,2,0,3,4,4,1,4,5,13,13,11,96
17,3,3,1,2,0,4,3,4,1,4,4,6,5,6,92
16,4,2,1,1,0,4,3,3,3,4,3,10,8,9,80
17,4,3,1,2,0,5,2,3,1,1,2,10,10,11,92
16,4,3,1,2,0,3,4,3,2,3,3,9,8,8,80
16,3,3,1,2,0,4,2,3,1,2,3,12,13,12,96
17,2,4,1,2,0,5,4,2,2,3,5,16,17,17,100
17,3,3,1,2,0,5,3,3,2,3,1,9,9,8,0
16,3,2,1,2,0,1,2,2,1,2,1,12,13,12,72
17,3,3,1,2,0,4,3,4,2,3,4,12,12,11,76
16,1,2,1,1,0,3,3,3,1,2,3,11,12,11,96
16,2,1,1,2,0,4,2,3,1,2,5,15,15,15,100
17,3,3,1,2,0,3,3,3,1,3,3,8,7,9,88
17,1,2,1,2,0,3,1,3,1,5,3,8,9,10,92
16,2,3,1,2,0,4,3,3,1,1,2,11,12,13,80
17,1,1,1,2,0,5,3,3,1,1,3,8,8,9,100
17,1,2,2,2,0,4,4,4,4,5,5,7,8,8,76
16,3,3,1,1,0,4,3,2,3,4,5,8,9,10,84
16,2,3,2,1,0,5,3,3,1,1,3,13,14,14,100
17,2,4,1,2,0,4,3,2,1,1,5,14,15,15,100
17,4,4,1,1,0,5,2,3,1,2,5,17,15,16,92
16,3,3,3,1,0,3,3,4,3,5,3,9,9,10,84
17,4,4,2,1,1,4,2,4,2,3,2,18,18,18,52
16,4,4,1,2,0,4,5,2,1,2,3,9,9,10,100
16,4,3,1,2,0,4,3,5,1,5,2,16,16,16,96
16,2,3,1,2,0,4,4,3,1,3,4,8,10,10,88
17,1,1,1,2,0,4,4,4,1,3,1,9,9,10,92
17,2,2,1,1,0,5,3,2,1,2,3,7,6,6,64
16,2,2,2,4,0,5,3,5,1,1,5,10,10,11,88
17,3,4,1,3,1,4,4,3,3,4,5,10,9,9,44
16,3,1,1,2,3,2,3,3,2,2,4,7,7,7,90
16,4,3,1,2,0,1,3,2,1,1,1,11,12,13,80
16,1,1,2,1,0,4,3,2,1,4,5,9,9,10,88
17,4,3,2,3,0,4,4,2,1,1,4,7,7,7,88
19,3,3,1,4,0,4,3,3,1,2,3,8,8,8,80
17,4,4,1,2,0,5,3,5,4,5,3,12,12,13,74
16,2,2,1,2,0,3,3,4,1,1,4,12,13,14,100
18,2,2,1,2,1,4,4,4,2,4,5,6,7,8,70
17,4,4,1,1,0,5,2,1,1,2,3,8,10,10,76
17,3,2,2,2,0,4,4,4,1,3,1,14,15,15,96
17,4,3,1,2,2,3,4,5,2,4,1,6,6,4,56
18,3,3,1,2,1,3,2,4,2,4,4,6,6,8,74
17,2,3,2,1,0,3,3,3,1,4,3,7,7,8,94
17,2,2,1,3,0,4,3,3,1,1,4,9,10,10,92
17,2,1,2,2,0,4,2,5,1,2,5,6,6,6,96
17,1,1,1,3,1,4,3,4,1,1,5,6,5,0,100
16,2,3,1,2,0,2,3,1,1,1,3,16,16,17,96
18,2,2,2,2,0,3,3,3,5,5,4,12,13,13,100
16,4,4,1,3,0,5,3,2,1,1,5,13,13,14,100
18,3,1,1,2,1,5,3,3,1,1,4,9,8,7,68
17,3,2,1,2,0,5,3,4,1,3,3,16,15,15,80
17,2,3,1,2,0,5,3,3,1,3,3,12,11,12,96
18,2,1,4,2,0,4,3,2,4,5,3,10,8,9,72
17,2,1,2,3,0,3,2,3,1,2,3,12,10,12,80
17,4,3,1,2,0,3,2,3,1,2,3,13,13,14,72
17,2,2,2,2,0,4,5,2,1,1,1,11,11,11,92
17,4,4,1,2,0,4,5,5,1,3,2,11,9,9,72
16,4,4,1,2,0,4,2,4,2,4,1,14,13,13,96
16,1,1,2,2,0,3,4,2,1,1,5,9,7,6,64
16,3,2,2,3,0,5,3,3,1,3,2,11,9,10,80
17,2,2,1,2,0,4,4,2,5,5,4,14,13,13,92
16,2,1,1,1,0,4,5,2,1,1,5,13,12,12,60
17,2,1,3,2,0,2,1,1,1,1,3,13,11,11,96
18,2,2,1,2,1,5,5,4,3,5,2,7,7,0,100
17,4,3,2,2,0,2,5,5,1,4,5,12,12,12,72
17,4,4,2,2,0,3,3,3,2,3,4,10,11,12,96
16,4,3,1,1,0,5,4,5,1,1,3,6,0,0,100
16,4,4,1,1,0,5,3,2,1,2,5,13,12,12,100
18,2,1,2,3,0,4,4,4,1,1,3,7,0,0,100
16,2,1,3,1,0,4,3,3,1,1,4,18,18,18,88
17,2,3,2,1,0,5,2,2,1,1,2,12,12,13,92
22,3,1,1,1,3,5,4,5,5,5,1,6,8,8,68
18,3,3,1,2,1,4,3,3,1,3,5,3,5,5,84
16,0,2,1,1,0,4,3,2,2,4,5,13,15,15,100
18,3,2,2,1,1,4,4,5,2,4,5,6,8,8,100
16,3,3,3,2,0,5,3,3,1,3,2,7,10,10,88
18,2,1,1,1,1,3,2,5,2,5,5,6,9,8,92
16,2,1,2,1,0,3,3,2,1,3,3,8,9,8,100
17,2,1,1,1,0,4,4,2,2,4,5,8,12,12,100
17,1,1,2,1,1,4,4,4,1,2,5,7,9,8,96
17,4,2,1,4,0,4,2,3,1,1,4,14,12,13,88
19,4,3,1,2,0,4,3,1,1,1,1,11,11,11,76
18,2,1,1,2,0,5,2,4,1,2,4,15,14,14,84
17,2,2,1,4,0,3,4,1,1,1,2,10,9,0,100
18,4,3,1,2,0,3,1,2,1,3,2,17,18,18,58
18,4,3,1,2,0,4,3,2,1,1,3,8,8,8,96
18,3,2,1,3,0,5,3,2,1,1,3,13,12,12,98
17,3,3,1,3,0,3,2,3,1,1,4,10,9,9,92
18,2,2,1,3,0,4,3,3,1,1,3,9,10,0,100
18,3,4,2,2,0,4,2,5,3,4,1,17,17,17,74
17,3,1,1,2,0,5,4,4,3,4,5,9,9,10,96
18,4,4,2,2,0,4,3,4,2,2,4,12,10,11,84
18,4,2,1,2,0,5,4,5,1,3,5,10,9,10,80
18,2,1,2,2,0,4,3,5,1,2,3,6,0,0,100
19,3,3,1,2,2,4,3,5,3,3,5,9,9,9,70
18,2,3,1,4,0,4,5,5,1,3,2,15,14,14,92
18,1,1,2,2,0,4,4,3,1,1,3,11,11,11,96
17,1,2,1,2,0,3,5,2,2,2,1,15,14,14,96
17,2,4,2,2,0,4,3,3,1,1,1,10,10,10,96
17,2,2,2,2,0,4,4,4,2,3,5,12,12,12,88
18,3,2,2,2,0,4,1,1,1,1,5,10,9,9,0
18,4,4,2,1,0,3,2,4,1,4,3,9,9,9,56
18,4,4,1,2,1,2,4,4,1,1,4,9,8,8,70
18,4,3,2,1,0,4,2,3,1,2,1,10,11,10,84
17,4,1,2,1,0,4,5,4,2,4,5,8,8,8,40
17,3,2,1,1,1,4,4,4,3,4,3,11,9,10,62
18,1,1,2,4,0,5,2,2,1,1,3,12,12,12,98
18,1,1,2,2,0,5,4,4,1,1,4,8,9,10,92
17,2,2,1,2,0,5,4,5,1,2,5,10,9,11,92
17,1,1,1,2,0,4,3,3,1,2,4,12,10,11,96
18,2,2,1,3,0,4,3,3,1,2,2,18,18,19,90
17,1,1,1,3,0,4,3,3,1,1,3,13,12,12,88
18,2,1,1,3,0,4,2,4,1,3,2,15,14,14,88
18,4,4,1,2,0,5,4,3,1,1,2,15,13,15,82
18,4,2,1,2,0,4,3,2,1,4,5,12,11,11,78
17,4,3,1,3,0,4,2,2,1,2,3,15,15,15,100
18,2,1,1,2,1,5,4,3,1,1,5,12,12,13,76
17,3,1,2,4,0,3,1,2,1,1,3,18,18,18,88
18,3,2,2,3,0,5,4,2,1,1,4,14,13,14,84
17,3,3,1,1,0,4,4,3,1,3,5,14,12,11,92
19,4,4,2,2,0,2,3,4,2,3,2,10,9,0,100
18,4,3,2,2,0,4,4,5,1,2,2,10,8,8,80
18,4,3,1,4,0,4,3,3,1,1,3,14,13,14,100
18,4,4,1,1,0,1,4,2,2,2,1,16,15,16,90
18,4,4,1,2,0,4,2,4,1,1,4,12,10,11,72
17,4,4,2,1,0,4,1,1,2,2,5,11,11,10,100
17,4,2,2,3,0,4,3,3,1,1,3,15,12,14,100
17,3,2,1,4,0,5,2,2,1,2,5,17,17,18,100
19,3,3,1,2,1,4,4,4,1,1,3,15,14,13,60
18,2,4,1,2,1,4,4,3,1,1,3,14,12,12,84
20,3,2,1,1,0,5,5,3,1,1,5,17,18,18,100
19,4,4,2,1,1,4,3,4,1,1,4,8,9,8,24
19,3,3,1,2,1,4,5,3,1,2,5,15,12,12,100
19,1,1,1,2,1,4,4,3,1,3,3,12,10,10,64
19,1,2,1,2,1,4,2,4,2,2,3,9,9,0,100
19,2,1,3,2,0,3,4,1,1,1,2,14,12,13,60
19,1,2,1,2,1,4,5,2,2,2,4,13,11,11,94
19,3,2,2,2,1,4,2,2,1,2,1,13,10,11,56
19,1,1,1,3,2,4,1,2,1,1,3,15,13,13,72
19,2,3,1,3,1,4,1,2,1,1,3,13,11,11,20
18,2,1,2,2,0,5,3,3,1,2,1,8,8,0,100
18,4,3,1,3,0,4,3,4,1,1,5,9,10,9,82
17,3,4,1,3,0,4,3,4,2,5,5,11,11,10,100
18,4,4,1,2,0,4,4,4,3,3,5,11,11,11,96
17,4,3,1,2,0,5,2,2,1,2,5,13,13,13,54
17,2,2,1,2,0,4,2,2,1,1,3,11,9,9,76
17,2,2,1,3,0,3,3,2,2,2,3,11,11,11,94
17,3,1,1,3,0,3,4,3,2,3,5,12,14,15,98
17,0,2,2,3,0,3,3,3,2,3,2,16,15,15,100
18,4,4,1,3,0,4,3,3,2,2,3,9,12,11,94
17,3,3,1,1,0,4,3,5,3,5,5,14,15,16,94
17,2,2,4,1,0,4,4,5,5,5,4,11,10,10,84
17,4,4,1,3,0,5,4,4,1,3,4,10,9,9,86
17,4,4,2,3,0,4,3,3,1,2,4,14,14,14,92
18,2,2,1,4,0,4,5,5,2,4,5,9,8,8,96
17,2,4,1,3,0,4,4,3,1,1,5,12,14,14,86
18,3,3,1,2,0,5,3,4,1,1,4,7,0,0,100
18,2,2,1,2,0,4,3,3,1,1,2,8,8,0,100
18,2,2,2,4,0,4,4,4,1,1,4,10,9,0,100
17,3,4,1,3,0,4,4,5,1,3,5,16,15,15,68
19,3,1,1,3,1,5,4,3,1,2,5,14,13,13,76
17,3,2,1,2,0,4,3,2,2,3,2,7,8,0,100
18,3,3,1,4,0,5,3,3,1,1,1,16,15,17,86
17,3,2,1,2,0,4,3,3,2,3,2,9,10,10,92
19,2,1,1,3,1,4,3,4,1,3,3,11,12,11,92
18,4,4,1,2,1,4,3,3,2,2,2,10,10,0,100
18,3,4,1,2,0,4,3,3,1,3,5,16,15,15,78
17,2,2,1,2,1,3,3,1,1,2,4,9,8,0,100
18,2,3,1,3,0,4,3,3,1,2,3,11,10,10,92
18,3,2,1,3,0,5,4,3,2,3,1,13,13,14,86
18,4,3,1,3,0,5,3,2,1,2,4,16,15,16,82
18,4,3,1,3,0,5,4,5,2,3,5,10,10,9,100
17,4,3,1,3,0,4,4,3,1,3,4,13,15,15,100
18,3,2,2,1,1,2,5,5,5,5,5,11,13,13,80
19,1,1,3,2,3,5,4,4,3,3,2,8,7,8,84
17,3,3,2,2,0,4,5,4,2,3,3,13,13,13,96
18,1,3,1,1,1,4,3,3,2,3,3,8,7,8,86
19,1,1,3,1,1,4,4,4,3,3,5,8,8,8,92
17,4,3,2,2,0,4,5,5,1,3,2,13,11,11,92
18,3,3,1,2,0,5,3,4,1,1,5,10,9,9,100
17,4,4,2,2,0,4,3,3,1,2,5,12,13,13,92
17,3,2,2,2,0,1,2,3,1,2,5,12,12,11,96
18,1,1,2,1,0,3,3,2,1,2,3,10,10,10,92
18,1,1,2,3,0,5,3,2,1,1,4,18,16,16,100
18,1,4,3,2,0,4,3,4,1,4,5,13,13,13,100
18,1,1,2,2,1,4,4,3,2,3,5,13,12,12,96
18,3,3,2,2,0,4,3,2,1,3,3,11,11,10,100
17,4,4,1,2,0,2,3,4,1,1,1,16,15,15,100
17,1,2,2,2,0,3,2,2,1,2,3,12,11,12,100
18,1,3,2,2,0,3,3,4,2,4,3,10,10,10,92
18,4,4,2,3,0,4,2,2,2,2,5,13,13,13,100
17,1,1,3,1,1,5,2,1,1,2,1,7,6,0,100
18,2,3,2,1,0,5,2,3,1,2,4,11,10,10,100
18,4,4,3,2,0,3,2,2,4,2,5,14,12,11,80
19,3,2,2,2,2,3,2,2,1,1,3,7,7,9,92
18,1,2,3,1,0,4,3,3,2,3,3,14,12,12,94
17,2,2,1,3,0,3,4,3,1,1,3,13,11,11,84
17,1,2,1,1,0,3,5,5,1,3,1,6,5,5,72
18,4,4,2,3,0,5,4,4,1,1,1,19,18,19,100
18,1,1,4,3,0,4,3,2,1,2,4,8,8,10,96
20,4,2,2,3,2,5,4,3,1,1,3,15,14,15,92
18,4,4,1,2,0,5,4,3,3,4,2,8,9,10,92
18,3,3,1,2,0,4,1,3,1,2,1,15,15,15,100
17,3,1,1,2,0,4,5,4,2,3,1,10,10,10,66
18,4,4,1,2,0,3,2,4,1,4,2,15,14,14,92
18,2,1,2,1,0,4,4,3,1,3,5,7,6,7,90
17,2,3,2,2,0,4,4,3,1,1,3,11,11,10,96
19,1,1,2,1,1,4,3,2,1,3,5,6,5,0,100
18,4,2,2,1,1,5,4,3,4,3,3,6,5,5,72
18,2,2,2,3,0,5,3,3,1,3,4,10,9,10,96
18,4,4,3,1,0,4,4,3,2,2,5,6,5,6,86
19,2,3,1,3,1,5,4,2,1,2,5,7,5,0,100
18,3,1,1,2,0,4,3,4,1,1,1,7,9,8,100
18,1,1,2,2,1,1,1,1,1,1,5,6,5,0,100
20,2,2,1,2,2,5,5,4,4,5,4,9,9,9,78
17,3,1,2,1,0,2,4,5,3,4,2,14,16,16,94
21,1,1,1,1,3,5,5,3,3,3,3,10,8,7,94
18,3,2,3,1,0,4,4,1,3,4,5,11,12,10,100
19,1,1,1,1,0,3,2,3,3,3,5,8,9,9,90
